,attributes__Joined Twitter Date (UTC),attributes__Tweets,attributes__Description,attributes__Followed,attributes__Followers,attributes__Image File,label,id,color,y,size,x,z,attributes__Time Zone,attributes__Web,source,attributes__weight,attributes__Edge Id,attributes__Relationship,target
nodes,07/12/2010 13:11:14,93,Philosopher & historian of science at Humboldt University Berlin,78,85,http://a1.twimg.com/profile_images/1185729030/Photo-Davidkl_normal.jpg,davidundludwig,n98,"rgb(139,185,208)",1466.2357,15.717465,-110.0839,0,,,,,,,
,11/01/2010 19:15:42,12,,31,15,http://a2.twimg.com/profile_images/1128484476/f1_normal.jpg,fcoregalado,n108,"rgb(101,153,65)",645.65314,15.717465,1037.645,0,Mexico City,,,,,,
,12/07/2010 12:52:20,5,"PhD Candidate, Media, Technology and Society, Northwestern University.",96,36,http://a1.twimg.com/profile_images/1289497863/Eu_normal.jpg,isiles,n136,"rgb(139,185,208)",549.3173,23.060284,984.93097,0,Central Time (US & Canada),http://isiles.org,,,,,
,09/12/2008 01:46:34,215,Reuters technology and Internet security reporter,68,490,http://a0.twimg.com/profile_images/90699027/mug_normal.jpg,techwriterjim,n139,"rgb(234,150,57)",-1076.6599,17.055851,535.5164,0,Eastern Time (US & Canada),,,,,,
,02/11/2007 20:27:45,5432,Co-founder of @TechnicallyM & @TechnicallyPHL.  @BCNIPhilly organizer. Philly fanboy. And @phillytechweek too.,834,1259,http://a3.twimg.com/profile_images/1093513017/Screen_shot_2010-08-02_at_12.03.25_AM_normal.png,seanblanda,n142,"rgb(101,153,65)",-1071.8815,25.367386,388.04138,0,Eastern Time (US & Canada),http://www.seanblanda.com,,,,,
,06/02/2008 07:50:32,380,,70,36,http://a3.twimg.com/profile_images/47862922/framboises_normal.jpeg,niespika,n145,"rgb(139,185,208)",-211.28564,29.259964,1176.8348,0,Eastern Time (US & Canada),http://www.niespika.net,,,,,
,17/04/2009 21:03:55,7798,Librarian | Internet | Infodiversity | Search engines | UNAM | Poquis | et. al.,384,434,http://a1.twimg.com/profile_images/1392745411/05__7_normal.jpg,jonnyy_,n148,"rgb(203,102,152)",680.4518,15.717465,891.7778,0,Central Time (US & Canada),http://www.facebook.com/jonhpz,,,,,
,26/06/2009 08:14:53,696,"IT advisor at Bouvet ASA. Govt. 2.0, social media, semantic tech., distributed arch. and interop., photography, future of business",397,373,http://a1.twimg.com/profile_images/283386924/Stian_Danenbarger_335x418_normal.jpg,stidan,n149,"rgb(101,153,65)",614.07983,30.955322,-61.699497,0,Stockholm,http://no.linkedin.com/in/stian,,,,,
,26/01/2008 07:50:18,13,,27,15,http://a1.twimg.com/sticky/default_profile_images/default_profile_2_normal.png,rosanna_de_rosa,n155,"rgb(203,102,152)",661.281,21.3215,-873.6777,0,,,,,,,
,09/12/2008 02:46:06,29,"convergent media, mobiles for social change, africa",155,62,http://a1.twimg.com/profile_images/457589161/whatsherface_normal.gif,jennerator1,n159,"rgb(139,185,208)",-559.69415,20.372137,-351.7826,0,Hawaii,,,,,,
,09/05/2009 18:48:31,144,"Nobody hits as hard as life. Your life, is your's, go out and get it. Believe in yourself, you can do anything.",298,77,http://a2.twimg.com/profile_images/205692655/FlagOfYorkshire_normal.png,silenttyke,n165,"rgb(203,102,152)",-1358.0583,29.259964,-874.07904,0,London,,,,,,
,08/05/2009 12:31:41,4,www.guilhermedna.com.br,102,49,http://a1.twimg.com/profile_images/1312777877/gui_linkedin_normal.jpg,guilhermedna,n171,"rgb(139,185,208)",912.4737,20.372137,29.886904,0,Brasilia,http://www.guilhermedna.com.br,,,,,
,08/07/2009 11:14:28,3,,140,10,http://a0.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,jackiedooney,n196,"rgb(203,102,152)",-698.66064,33.027,-502.6646,0,,,,,,,
,19/08/2007 08:28:23,4,"Publisher, Bloomsbury Academic and Visiting Fellow, London School of Economics",9,41,http://a1.twimg.com/sticky/default_profile_images/default_profile_2_normal.png,francespinter,n198,"rgb(203,102,152)",-1183.5856,14.186929,-386.57712,0,London,,,,,,
,26/03/2009 22:36:08,906,"Italy, Oxford, cats, Alice in Wonderland, fantasy & children's literature, British comedy and travelling. Freelance journalist, copywriter, editor, translator.",194,128,http://a2.twimg.com/profile_images/1220156064/Ikje_normal.jpg,giudycat,n202,"rgb(3,101,151)",-510.33163,15.717465,-1299.0613,0,Amsterdam,,,,,,
,22/03/2010 14:22:13,16,,33,7,http://a2.twimg.com/profile_images/936076973/pic.php_15-18-35_normal.jpeg,aimeeblackledge,n207,"rgb(203,102,152)",252.33194,15.717465,-1164.964,0,London,http://www.linkedin.com/in/aimeeblackledge,,,,,
,27/02/2010 01:14:06,7969,Politics at Royal Holloway. Politically inchoate. Bum. There is no rule six. #Ellie4PM O.o,306,181,http://a3.twimg.com/profile_images/1392792507/39201_421914746851_500471851_5351560_866058_n_1__normal.jpg,rorylawless,n213,"rgb(139,185,208)",357.2582,29.259964,-1308.6296,0,London,http://www.rorylawless.co.uk,,,,,
,10/01/2011 11:55:26,15,,43,21,http://a0.twimg.com/profile_images/1218412394/alex_lydiate_normal.jpg,alexlydiate,n220,"rgb(203,102,152)",54.448986,17.055851,-1409.8859,0,,http://deepspod.blogspot.com,,,,,
,26/10/2009 12:50:57,194,,128,56,http://a0.twimg.com/profile_images/1050241254/e24a84f3-5d0e-4d3e-9da2-01c07498fb9a_normal.png,lairdbarrett,n222,"rgb(203,102,152)",-325.0436,17.055851,-1421.9866,0,Eastern Time (US & Canada),,,,,,
edges,,,,,,,,0,,,,,,,,n98,2,27639,Follower,n108
,,,,,,,,1,,,,,,,,n108,2,29293,Follower,n98
,,,,,,,,2,,,,,,,,n136,2,36800,Follower,n98
,,,,,,,,3,,,,,,,,n139,2,52704,Follower,n108
,,,,,,,,4,,,,,,,,n142,2,49522,Follower,n108
,,,,,,,,5,,,,,,,,n142,,49524,Followed,n202
,,,,,,,,6,,,,,,,,n142,2,49521,Follower,n139
,,,,,,,,7,,,,,,,,n155,,26017,Followed,n202
,,,,,,,,8,,,,,,,,n155,2,26007,Follower,n149
,,,,,,,,9,,,,,,,,n198,2,42610,Follower,n202
,,,,,,,,10,,,,,,,,n202,,27990,Followed,n142
